date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2013-01-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,"Rice (glutinous, unmilled)",KG,actual,Retail,JPY,580.0,6.5426
2013-02-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2417.0,25.8116
2013-02-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2585.0,27.6057
2013-03-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2415.0,25.3517
2013-03-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2627.0,27.5772
2013-04-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2415.0,24.6429
2013-04-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2573.0,26.2551
2013-05-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2390.0,23.3307
2013-05-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2593.0,25.3124
2013-06-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2390.0,25.3339
2013-06-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2559.0,27.1253
2013-06-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,"Rice (glutinous, unmilled)",KG,actual,Retail,JPY,595.0,6.307
2013-07-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2382.0,23.8105
2013-07-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,"Rice (glutinous, unmilled)",KG,actual,Retail,JPY,548.0,5.4778
2013-07-15,Tookyoo,Sinzyukuku,Tokyo,35.69,139.69,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2566.0,25.6497
2013-08-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,Rice,5 KG,actual,Retail,JPY,2390.0,24.4351
2013-08-15,Oosaka,Oosakasi_Tyuuooku,Osaka,34.69,135.5,cereals and tubers,"Rice (glutinous, unmilled)",KG,actual,Retail,JPY,525.0,5.3675
